batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2310,R2310,6,8,5,114,19,95,1,1968000,28.0,684.0,17:04,706.0,17:26,Complete
B2311,R2311,9,1,8,114,18,96,1,1971700,48.0,684.0,17:04,705.0,17:25,Complete
B2312,R2312,9,4,7,125,18,107,1,2088400,18.0,684.0,17:04,707.0,17:27,Complete
B2313,,2,1,6,54,9,45,2,1473000,,,,,,Overdue
B2314,,3,1,6,51,8,43,1,1447100,,,,,,Overdue
B2315,,3,4,6,45,9,36,2,1386400,,,,,,Overdue
B2316,,3,5,7,50,10,40,2,1427200,,,,,,Overdue
B2317-1,,3,10,10,83,17,66,2,1676800,,,,,,Overdue
B2317-2,,3,10,10,83,17,66,2,1676800,,,,,,Overdue
B2318,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2319,,6,7,6,77,15,62,2,1649300,,,,,,Overdue
B2320,R2320,9,10,7,177,21,156,1,2572300,9.0,685.0,17:05,712.0,17:32,Complete
B2321,,1,2,5,54,9,45,2,1474000,,,,,,Overdue
B2322,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2323,,1,7,5,55,9,46,2,1486500,,,,,,Overdue
B2324,,2,5,6,59,10,49,2,1509100,,,,,,Overdue
B2325,,3,1,6,51,8,43,2,1457100,,,,,,Overdue
