batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2517,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2518,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2519,,4,3,5,45,9,36,1,1379400,,,,,,Overdue
B2520,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2521,,6,7,6,77,14,63,2,1651300,,,,,,Overdue
B2522,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2523,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2524,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2525,,4,3,5,45,9,36,1,1379400,,,,,,Overdue
B2526,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2527,R2527,6,7,6,77,15,62,1,1641300,2.0,701.0,17:21,721.0,17:41,Complete
B2528,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2529,,9,1,8,114,18,96,2,1983700,,,,,,Overdue
B2530,,10,3,9,83,17,66,2,1679800,,,,,,Overdue
B2531,,1,5,6,27,10,17,1,1190900,,,,,,Overdue
B2532,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2533,,1,8,5,82,14,68,2,1708400,,,,,,Overdue
B2534,,2,1,6,54,9,45,1,1465000,,,,,,Overdue
B2535,R2535,2,5,6,59,10,49,1,1501100,4.0,703.0,17:23,716.0,17:36,Complete
B2536,,3,1,6,51,8,43,1,1449100,,,,,,Overdue
B2537,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2538,,3,5,7,50,10,40,1,1419200,,,,,,Overdue
B2539,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2540,,4,3,5,45,9,36,1,1379400,,,,,,Overdue
B2541,,4,8,5,78,14,64,2,1672200,,,,,,Overdue
B2542,,5,2,6,61,10,51,1,1521100,,,,,,Overdue
B2543,,5,9,6,138,19,119,2,2215000,,,,,,Overdue
B2544,,6,7,6,77,14,63,2,1651300,,,,,,Overdue
B2545,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2546,,9,4,7,125,18,107,2,2100400,,,,,,Overdue
B2547,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2548,R2548,1,10,7,61,15,46,1,1470400,3.0,706.0,17:26,724.0,17:44,Complete
B2549,,2,1,6,54,9,45,1,1465000,,,,,,Overdue
B2550-1,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2550-2,,2,4,6,54,8,46,1,1479700,,,,,,Overdue
B2551,,2,5,6,59,11,48,2,1511100,,,,,,Overdue
B2552,,2,6,8,92,13,79,2,1815500,,,,,,Overdue
B2553,,3,1,6,51,8,43,1,1449100,,,,,,Overdue
B2554,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2555,,3,6,6,83,12,71,2,1737600,,,,,,Overdue
B2556,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2557,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2558,,6,3,5,81,12,69,2,1718600,,,,,,Overdue
B2559,R2559,6,7,6,77,15,62,1,1641300,2.0,704.0,17:24,724.0,17:44,Complete
B2560,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2561,,9,1,8,114,18,96,2,1983700,,,,,,Overdue
B2562,,9,3,6,121,17,104,2,2068100,,,,,,Overdue
B2563,,1,5,6,27,10,17,2,1200900,,,,,,Overdue
B2564,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2565,,2,1,6,54,9,45,1,1465000,,,,,,Overdue
B2566,R2566,2,4,6,54,8,46,1,1479700,9.0,704.0,17:24,718.0,17:38,Complete
B2567,,3,4,6,45,9,36,1,1378400,,,,,,Overdue
B2568,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2569,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2570,,4,3,5,45,9,36,1,1379400,,,,,,Overdue
B2571,,4,7,5,57,9,48,1,1497500,,,,,,Overdue
B2572,,5,2,6,61,10,51,2,1531100,,,,,,Overdue
B2573,,7,6,6,78,14,64,2,1661300,,,,,,Overdue
B2574,,9,10,7,177,21,156,2,2584300,,,,,,Overdue
B2575,,1,3,5,49,8,41,1,1430100,,,,,,Overdue
B2576,,1,7,5,55,9,46,1,1478500,,,,,,Overdue
B2577,,3,1,6,51,8,43,1,1449100,,,,,,Overdue
B2578,,3,4,6,45,9,36,2,1388400,,,,,,Overdue
B2579,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2580,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2581,,6,7,6,77,15,62,2,1651300,,,,,,Overdue
B2582,,7,1,5,56,9,47,1,1488500,,,,,,Overdue
B2583,,7,4,5,57,9,48,1,1497500,,,,,,Overdue
B2584,,1,3,5,49,8,41,1,1430100,,,,,,Overdue
B2585,,2,4,6,54,8,46,2,1489700,,,,,,Overdue
B2586,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2587,,4,2,5,56,8,48,1,1500700,,,,,,Overdue
B2588,,4,7,5,57,9,48,2,1507500,,,,,,Overdue
B2589,,9,4,7,125,18,107,2,2100400,,,,,,Overdue
B2590,,1,2,5,54,9,45,2,1476000,,,,,,Overdue
B2591,,1,5,6,27,9,18,2,1200900,,,,,,Overdue
B2592,R2592,2,4,6,54,8,46,1,1479700,9.0,707.0,17:27,721.0,17:41,Complete
B2593,,2,5,6,59,11,48,2,1511100,,,,,,Overdue
B2594,R2594,2,6,8,92,13,79,1,1805500,10.0,710.0,17:30,726.0,17:46,Complete
B2595,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2596,,4,3,5,45,9,36,2,1389400,,,,,,Overdue
B2597,,5,2,6,61,11,50,2,1531100,,,,,,Overdue
B2598,,6,7,6,77,15,62,2,1651300,,,,,,Overdue
B2599,R2599,7,4,5,57,9,48,1,1497500,7.0,709.0,17:29,721.0,17:41,Complete
B2600,,9,4,7,125,17,108,2,2100400,,,,,,Overdue
B2601,,1,6,5,23,9,14,2,1162600,,,,,,Overdue
B2602,,1,7,5,55,9,46,2,1488500,,,,,,Overdue
B2603,,2,4,6,54,8,46,2,1489700,,,,,,Overdue
B2604,,3,1,6,51,8,43,2,1459100,,,,,,Overdue
B2605,,3,4,6,45,9,36,2,1388400,,,,,,Overdue
B2606,,3,5,7,50,10,40,2,1429200,,,,,,Overdue
B2607,,3,10,10,83,17,66,2,1678800,,,,,,Overdue
B2608,,4,3,5,45,9,36,2,1389400,,,,,,Overdue
B2609,,1,5,6,27,9,18,2,1200900,,,,,,Overdue
B2610,,1,7,5,55,9,46,2,1488500,,,,,,Overdue
B2611,,2,1,6,54,9,45,2,1475000,,,,,,Overdue
B2612,R2612,2,4,6,54,8,46,1,1479700,19.0,709.0,17:29,720.0,17:40,Complete
B2613,,2,5,6,59,11,48,2,1511100,,,,,,Overdue
B2614,,3,1,6,51,8,43,2,1459100,,,,,,Overdue
