horizon_start,horizon_end,request_id,batch_id,planned_visit,drop_penalty
240,270,R450,B450,False,2513300
240,270,R451,B451,False,1377400
240,270,R452,B452,False,1418200
240,270,R453,B453,True,1971700
240,270,R454,B454,True,1464000
240,270,R455,B455,False,1448100
240,270,R456,B456,False,1377400
240,270,R457,B457,False,1177100
240,270,R458,B458,True,1418200
240,270,R459,B459,True,1527500
240,270,R460,B460,True,1639300
240,270,R461,B461,True,1418200
240,270,R462,B462,False,1150600
240,270,R463,B463,False,2513300
240,270,R464,B464,True,1478700
240,270,R465,B465,True,1726600
240,270,R466,B466,True,1476500
240,270,R467,B467,True,1377400
240,270,R468,B468,True,1486500
240,270,R469,B469,True,1639300
240,270,R470,B470,True,2250100
240,270,R471,B471,True,1464000
240,270,R472,B472,True,1478700
240,270,R473,B473,True,1805500
240,270,R474,B474,True,1367400
240,270,R475,B475,True,1140600
240,270,R476,B476,True,1541900
240,270,R477,B477,True,1140600
240,270,R478,B478,True,1468700
240,270,R479,B479,True,1367400
240,270,R480,B480,True,1488700
240,270,R481,B481,True,1167100
240,270,R482,B482,True,1367400
240,270,R483,B483,True,1468700
240,270,R484,B484,True,1488700
240,270,R485,B485,True,1517500
240,270,R486,B486,True,1367400
240,270,R487,B487,True,1468700
240,270,R488,B488,True,1367400
240,270,R489,B489,True,1517500
240,270,R490,B490,True,1140600
240,270,R491,B491,True,1468700
240,270,R492,B492,True,1629200
240,270,R493,B493,True,1454000
240,270,R494-1,B494-1,True,1367400
240,270,R494-2,B494-2,True,1367400
240,270,R495,B495,True,2057100
240,270,R496,B496,True,1367400
240,270,R497,B497,True,1476500
240,270,R498,B498,True,1962700
240,270,R499,B499,True,1454000
240,270,R500,B500,True,1489100
240,270,R501,B501,True,1438100
240,270,R502,B502,True,1488700
240,270,R503,B503,True,1178900
240,270,R504,B504,True,1696600
240,270,R505,B505,True,1408200
240,270,R506,B506,True,1541900
240,270,R507,B507,True,1518500
240,270,R508,B508,True,1521900
240,270,R509,B509,True,1469700
240,270,R510,B510,True,1796500
240,270,R511,B511,True,1696600
240,270,R512,B512,True,1957000
240,270,R513,B513,True,1639300
240,270,R514,B514,True,1716600
240,270,R515,B515,True,1488700
240,270,R516,B516,True,2193000
240,270,R517,B517,True,1962700
240,270,R518,B518,True,1521900
240,270,R519,B519,True,1489100
240,270,R520,B520,True,1367400
240,270,R521,B521,True,1795500
240,270,R522,B522,True,1476500
240,270,R523,B523,True,1485500
240,270,R524,B524,True,2079400
240,270,R525,B525,True,1467500
240,270,R526,B526,True,1629200
240,270,R527,B527,True,2079400
240,270,R528,B528,True,1657800
240,270,R529,B529,True,1459400
240,270,R530,B530,True,1408200
240,270,R531,B531,True,1696600
240,270,R532,B532,True,2240100
240,270,R533,B533,True,1917000
240,270,R534,B534,True,1521900
240,270,R535,B535,True,1488700
240,270,R536,B536,True,1510100
240,270,R537,B537,True,1140600
240,270,R538,B538,True,1696600
240,270,R539,B539,True,1485500
240,270,R540,B540,True,1798700
240,270,R541,B541,True,2203000
240,270,R542,B542,True,1657800
240,270,R543,B543,True,1489100
240,270,R544,B544,True,1408200
240,270,R545,B545,True,1716600
240,270,R546,B546,True,1629300
240,270,R547,B547,True,1485500
240,270,R548,B548,True,1521900
