batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2724,,9,5,6,740,18:00,746,18:06,98,19,79,3,278079,,,,,,Overdue
B2741,,1,10,7,740,18:00,747,18:07,55,16,39,3,303630,,,,,,Overdue
B2780,,2,6,8,740,18:00,748,18:08,85,13,72,3,282008,,,,,,Overdue
B2760,,4,9,6,742,18:02,748,18:08,102,17,85,3,279823,,,,,,Overdue
B2798,,6,7,6,742,18:02,748,18:08,90,14,76,3,278533,,,,,,Overdue
B2800,,7,6,6,742,18:02,748,18:08,86,14,72,3,279350,,,,,,Overdue
B2764,,9,4,7,742,18:02,749,18:09,99,17,82,3,280527,,,,,,Overdue
B2763,,9,1,8,743,18:03,751,18:11,102,18,84,3,279855,,,,,,Overdue
B2783,,3,10,10,744,18:04,754,18:14,93,17,76,3,281167,,,,,,Overdue
B2794,,3,10,10,745,18:05,755,18:15,93,17,76,3,281167,,,,,,Overdue
B2801,,9,4,7,746,18:06,753,18:13,99,18,81,3,280814,,,,,,Overdue
B2812,,9,4,7,746,18:06,753,18:13,99,17,82,3,280527,,,,,,Overdue
B2817,,3,10,10,747,18:07,757,18:17,93,17,76,3,281167,,,,,,Overdue
B2773,,6,9,6,748,18:08,754,18:14,128,22,106,3,272117,,,,,,Overdue
B2826,,3,10,10,748,18:08,758,18:18,93,17,76,3,281167,,,,,,Overdue
B2835,,9,1,8,749,18:09,757,18:17,102,18,84,3,279855,,,,,,Overdue
B2840,,3,10,10,749,18:09,759,18:19,93,17,76,3,281167,,,,,,Overdue
B2846,,9,4,7,750,18:10,757,18:17,99,18,81,3,280814,,,,,,Overdue
B2845,,9,1,8,750,18:10,758,18:18,102,18,84,3,279855,,,,,,Overdue
B2858,,3,10,10,750,18:10,760,18:20,93,17,76,4,289473,,,,,,Overdue
B2866,,3,9,6,751,18:11,757,18:17,108,17,91,3,276652,,,,,,Overdue
B2867,,3,10,10,751,18:11,761,18:21,93,17,76,4,289473,,,,,,Overdue
B2880,,9,4,7,752,18:12,759,18:19,99,17,82,3,280527,,,,,,Overdue
B2891,,9,3,6,753,18:13,759,18:19,78,17,61,3,276331,,,,,,Overdue
B2847,,9,10,7,753,18:13,760,18:20,107,21,86,4,268354,,,,,,Overdue
B2892,,9,4,7,754,18:14,761,18:21,99,18,81,4,288669,,,,,,Overdue
B2890,,8,6,6,755,18:15,761,18:21,101,19,82,4,283808,,,,,,Overdue
B2871,,9,10,7,755,18:15,762,18:22,107,21,86,4,268354,,,,,,Overdue
B2896,,6,8,5,756,18:16,761,18:21,97,19,78,4,282025,,,,,,Overdue
B2939,,8,1,7,756,18:16,763,18:23,73,14,59,3,288535,,,,,,Overdue
B2909,,9,1,8,756,18:16,764,18:24,102,18,84,4,287423,,,,,,Overdue
B2929,,9,4,7,758,18:18,765,18:25,99,17,82,3,280527,,,,,,Overdue
B2908,,6,9,6,760,18:20,766,18:26,128,22,106,4,277990,,,,,,Overdue
B2961,,9,4,7,762,18:22,769,18:29,99,17,82,3,280527,,,,,,Overdue
B2952,,8,6,5,763,18:23,768,18:28,101,19,82,3,276268,,,,,,Overdue
B2960,,8,6,5,764,18:24,769,18:29,101,19,82,3,276268,,,,,,Overdue
